Departement;codeInsee;Nom commune
22;22291;SAINT-GILDAS
22;22320;SAINT-NICODEME
22;22383;TROGUERY
22;22034;CAVAN
22;22047;CORLAY
22;22101;LANGOAT
22;22143;MATIGNON
22;22150;LE MERZER
22;22178;PLEHEDEL
22;22259;QUEVERT
22;22261;QUINTENIC
22;22327;SAINT-SAMSON-SUR-RANCE
22;22354;TREGLAMUS
22;22358;TREGONNEAU
22;22388;VILDE-GUINGALAN
22;22112;LANNEBERT
22;22116;LANRODEC
22;22139;MAGOAR
22;22144;LA MEAUGON
22;22225;PLOUMAGOAR
22;22257;QUEMPERVEN
22;22274;SAINT-ANDRE-DES-EAUX
22;22296;SAINT-GLEN
22;22300;SAINT-HERVE
22;22310;SAINT-LAURENT
22;22021;BRUSVILY
22;22023;BULAT-PESTIVIEN
22;22163;PAULE
22;22174;PLEBOULLE
22;22203;PLŒUC-L'HERMITAGE
22;22217;PLOUGRAS
22;22226;PLOUMILLIAU
22;22330;SAINT-THELO
22;22377;TREVENEUC
22;22381;TREZENY
22;22341;TRAMAIN
22;22362;TREGUIER
22;22375;TRESSIGNAUX
22;22387;LE VIEUX-MARCHE
22;22060;GAUSSON
22;22063;GOMMENEC'H
22;22071;GUITTE
22;22073;LA HARMOYE
22;22106;LANGUEUX
22;22181;PLELAUFF
22;22236;PLUDUAL
22;22245;PLUZUNET
22;22246;POMMERET
22;22255;LA PRENESSAYE
22;22267;ROUILLAC
22;22318;SAINT-MICHEL-DE-PLELAN
22;22338;SQUIFFIEC
22;22304;SAINT-JEAN-KERDANIEL
22;22324;SAINT-QUAY-PERROS
22;22365;TREMARGAT
22;22032;CAULNES
22;22069;GUENROC
22;22114;LANRELAS
22;22128;LOCARN
22;22187;PLERIN
22;22198;PLEUMEUR-BODOU
22;22231;PLOURAC'H
22;22043;COETLOGON
22;22053;EREAC
22;22083;ILLIFAUT
22;22084;JUGON-LES-LACS - COMMUNE NOUVELLE
22;22133;LOSCOUET-SUR-MEU
22;22137;MAEL-CARHAIX
22;22168;PERROS-GUIREC
22;22176;PLEDRAN
22;22206;CHATELAUDREN-PLOUAGAT
22;22317;SAINT-MELOIR-DES-BOIS
22;22275;SAINT-BARNABE
